"$theta [deg]","ExprCache(W_mag_exp1) []"
0,6.66170369048434
1,6.68067307265039
2,6.69318100700745
3,6.696926176959
4,6.6894958306481
5,6.67304134696824
6,6.64441517092061
7,6.60297752865672
8,6.55223686065864
9,6.49244974355044
10,6.43045422865619
11,6.35894676213814
12,6.29177084331344
13,6.22899626385366
14,6.16987034601628
15,6.1250256169076
16,6.09051857313786
17,6.05939149806895
18,6.02865264200873
19,5.99650332160222
20,5.95677236418653
21,5.91038687723299
22,5.85554774001125
23,5.79685610298564
24,5.72952810160881
25,5.65445078516352
26,5.58434643269799
27,5.50912184422843
28,5.44235837362262
29,5.37851167858385
30,5.32238831130851
31,5.28064203492084
32,5.24426579710922
33,5.2082621091028
34,5.16873750264256
35,5.12630098819157
36,5.07677257396148
37,5.01651052883877
38,4.95864769505568
39,4.89135834798718
40,4.81801188057866
41,4.74037391462801
42,4.66824719810904
43,4.60143622143933
44,4.533602140525
45,4.47019324799218
46,4.42697973705711
47,4.38302002302635
48,4.3402267894223
49,4.29191715788423
50,4.24333423142806
51,4.19184911778392
52,4.13244825815445
53,4.06856359048463
54,4.00142540593629
55,3.92861892474111
56,3.85670150603314
57,3.78228765658601
58,3.7136761016443
59,3.64443856178242
60,3.57912184835402
61,3.52230770691212
62,3.47216774696627
63,3.42197052283023
64,3.36871345721098
65,3.31575479075977
66,3.25803112709566
67,3.19757714924605
68,3.133942695851
69,3.06652558744742
70,2.99470482302638
71,2.92270221281816
72,2.85197934283332
73,2.77743474094423
74,2.70183154050127
75,2.63353877370054
76,2.57493946345886
77,2.52617236885622
78,2.48884618361235
79,2.46014265232092
80,2.43846902250724
81,2.4220639988914
82,2.4094748497262
83,2.39848193720687
84,2.39097549522059
85,2.38516128218379
86,2.37935157829165
87,2.37592456422148
88,2.37326137717393
89,2.37210796525866
90,2.3715946421515
91,2.37187627376061
92,2.37338944223814
93,2.37536604024314
94,2.37950224692826
95,2.38372798370087
96,2.39011425466482
97,2.39862899231914
98,2.40880457117378
99,2.42037214430805
100,2.43793922806115
101,2.45992667262107
102,2.4863924670472
103,2.52335635829889
104,2.56375965190123
105,2.62632956047623
106,2.68874195658344
107,2.7543841716515
108,2.82089835822433
109,2.88711660258889
110,2.95028249977973
111,3.01241998725112
112,3.07210674897444
113,3.13020879733102
114,3.18843510458556
115,3.24188366420636
116,3.29887263883095
117,3.35022729699132
118,3.40844739411083
119,3.47017139890337
120,3.53851227805813
121,3.60919562405189
122,3.68077852320899
123,3.7499980004709
124,3.81876698815813
125,3.88804997241382
126,3.94822974282589
127,4.00706635163604
128,4.06418980878346
129,4.11734946452021
130,4.1625213905581
131,4.21153288178787
132,4.25755870354282
133,4.31283747967824
134,4.36899850099431
135,4.43656669882354
136,4.50730100882098
137,4.58038798684706
138,4.65069280313646
139,4.71886645738474
140,4.78792266633901
141,4.84608532186319
142,4.89889481906229
143,4.94956494219547
144,4.99684905733694
145,5.03805387801639
146,5.08018386355529
147,5.12114003204937
148,5.17098763647167
149,5.22379716264545
150,5.28907198445989
151,5.35789343595935
152,5.4317671607183
153,5.50267961269715
154,5.57115344342469
155,5.63744950891701
156,5.69305745024627
157,5.74575116575859
158,5.79117482475507
159,5.83127755215922
160,5.86789867422238
161,5.89979089184083
162,5.93624277366053
163,5.97865234289876
164,6.03079442998098
165,6.09078775484949
166,6.16092850882706
167,6.23289532566815
168,6.30220315317484
169,6.36883380056399
170,6.43116741298653
171,6.48330861859049
172,6.5279752656847
173,6.56229674246121
174,6.58672273731259
175,6.6052559704081
176,6.61875484203326
177,6.62989564844079
178,6.64350463221993
179,6.65066970980365
180,6.66170369048434
