"$theta [deg]","Torque1.Torque [mNewtonMeter]"
0,6.47998268152348
1,8.04289884605693
2,5.06218637305488
3,-0.302049863161318
4,-8.62863676604782
5,-15.287016271572
6,-21.5354153612661
7,-29.1524088783513
8,-33.2184816836753
9,-39.4418089243069
10,-42.2487515515527
11,-44.1149098246325
12,-44.2820617841812
13,-40.5852469544981
14,-35.8606813294521
15,-33.5004163542297
16,-32.960976063528
17,-32.4756240022784
18,-34.7028476620806
19,-39.0971356171271
20,-43.9287561641799
21,-48.0231161972668
22,-53.352236407183
23,-56.8050579708843
24,-60.8084544901172
25,-64.3742741875295
26,-66.9443872412444
27,-66.8017230604595
28,-67.5072934964309
29,-65.0237392634557
30,-63.3886463912846
31,-61.912782601772
32,-63.6333541499648
33,-63.7928374085583
34,-68.1524441936122
35,-70.8076932418464
36,-74.097091336635
37,-77.4934111116324
38,-80.7621514945868
39,-82.6020126263783
40,-85.1354316204672
41,-87.2744701142943
42,-88.4045607273969
43,-88.2422092697148
44,-85.8961412203817
45,-83.2696115375305
46,-80.3797029096361
47,-78.6128792421397
48,-78.0183967790155
49,-78.1928259842343
50,-78.793826388986
51,-81.3385748130436
52,-82.698334469117
53,-84.9698415799376
54,-86.8397967461226
55,-87.2542964310794
56,-88.2682764812946
57,-88.1572998342586
58,-87.9046554367857
59,-85.3718488503498
60,-82.260577270443
61,-78.7818506160099
62,-77.6065752008999
63,-75.3426479185016
64,-74.243058442371
65,-73.7214374875527
66,-73.860313964295
67,-74.0673320870295
68,-74.7678888191677
69,-75.5423058141507
70,-75.4927299142797
71,-75.9232427020575
72,-75.582509045444
73,-74.3566970706933
74,-71.5893785063673
75,-66.7965047943457
76,-58.9615480569593
77,-50.4133774586072
78,-41.943081409173
79,-34.6473934221148
80,-28.1920632086122
81,-23.0409515576191
82,-18.669120306628
83,-14.8736843427097
84,-11.8522115318301
85,-9.09402422268369
86,-6.85723848155572
87,-5.09744202290991
88,-3.07666770517578
89,-1.6283032315398
90,-0.0388601654942057
91,1.41011186958438
92,3.38491826361067
93,4.98803666182834
94,6.81573652483763
95,8.88268777623213
96,11.4385803130101
97,14.7010798935987
98,18.4733265946095
99,22.5658081761086
100,27.6944289459765
101,34.0705605624986
102,41.3587781724479
103,49.1449725880606
104,57.1488332470812
105,64.0518273082562
106,67.5938912905443
107,69.9523022482236
108,71.4638430607228
109,72.1841320325608
110,72.2972962843552
111,72.4631715507714
112,72.1675205331182
113,72.155597644266
114,72.4469559822927
115,74.0482770345613
116,75.2171795193236
117,77.7212313961986
118,80.4817050105164
119,83.3219391578094
120,85.9884106541723
121,87.399611926858
122,87.5594929977031
123,87.1142393268365
124,85.9256658835242
125,84.5670500955823
126,82.9926073170722
127,80.9962852157659
128,80.7332706785104
129,79.8509345614951
130,80.1407277640955
131,78.7954560075412
132,80.2953377245088
133,82.8227148202689
134,85.6763205784706
135,88.2705628117192
136,89.7196819938458
137,89.2667748424704
138,87.8545928353038
139,85.8042996443502
140,82.6213146912199
141,80.0376350157477
142,75.80239470853
143,73.3133460052693
144,71.328900492446
145,69.5143766752681
146,67.6427080975047
147,66.1241182439503
148,67.3238902458422
149,68.5567035429427
150,70.2736773386016
151,70.1573932225074
152,69.3304624024572
153,66.4440314983626
154,63.1596665218088
155,60.6818515048519
156,55.082741690839
157,52.3658725263758
158,48.5441614940784
159,45.6835176504651
160,40.6112429763259
161,38.3470591859001
162,37.2911544325215
163,38.8445061396113
164,41.7059130009076
165,43.7410933594911
166,47.1906242604864
167,45.9513842110525
168,42.2081916969206
169,39.2053064906787
170,36.9855688373293
171,32.8965316475862
172,26.4483230852177
173,22.6044117854768
174,15.1492988960028
175,11.154808882993
176,5.4759901341071
177,3.4601339835041
178,3.63118698442559
179,4.57774713499236
180,6.47998268150946
